iteration|level|ip_address|response_time|country|region|city|longitude|latitude|isp|org
1|1|192.168.0.1|1.312 ms|||||||
1|2|174.111.102.224|33.235 ms|United States|NC|High Point|-80.0053|35.9557|Time Warner Cable|Time Warner Cable
1|3|24.25.62.48|13.987 ms|United States|NY|New York|-73.9597|40.7903|Time Warner Cable|Time Warner Cable
1|4|24.93.67.200|22.853 ms|United States|NC|Charlotte|-80.8439|35.2277|Time Warner Cable|Time Warner Cable
1|5|24.93.64.184|17.721 ms|United States|NC|Charlotte|-80.8431|35.2271|Time Warner Cable|Time Warner Cable
1|6|66.109.6.80|22.542 ms|United States|GA|Forest Park|-84.3691|33.6221|Time Warner Cable|Time Warner Cable
1|7|216.50.79.33|48.703 ms|United States|VA|Newport News|-76.5892|37.1254|XO Communications|XO Communications
1|8|216.50.79.66|20.299 ms|United States|VA|Newport News|-76.5892|37.1254|XO Communications|XO Communications
1|9|216.239.62.139|24.544 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
1|10|216.239.49.181|19.978 ms|United States|LA|Sulphur|-93.4063|30.2585|Google|Google
1|11|216.239.50.93|25.123 ms|United States|CA|Mountain View|-122.085|37.4229|Google|Google
1|12|216.239.48.2|57.896 ms|United States|LA|Sulphur|-93.4063|30.2585|Google|Google
1|13|216.239.48.6|82.488 ms|United States|LA|Sulphur|-93.4063|30.2585|Google|Google
1|14|216.239.48.2|31.735 ms|United States|LA|Sulphur|-93.4063|30.2585|Google|Google
1|15|216.239.40.132|30.607 ms|United States|FL|Sarasota|-82.356|27.2379|Google|Google
1|16|216.239.40.118|30.014 ms|United States|FL|Sarasota|-82.356|27.2379|Google|Google
1|17|209.85.253.1|46.604 ms|United States|CA|Mountain View|-122.085|37.4229|Google|Google
1|18|209.85.143.197|24.647 ms|United States|CA|Mountain View|-122.085|37.4229|Google|Google
1|19|173.194.219.138|30.008 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
2|1|192.168.0.1|1.216 ms|||||||
2|2|174.111.102.226|29.861 ms|United States|NC|High Point|-80.0053|35.9557|Time Warner Cable|Time Warner Cable
2|3|24.25.62.50|11.915 ms|United States|NY|New York|-73.9597|40.7903|Time Warner Cable|Time Warner Cable
2|4|24.93.67.202|21.859 ms|United States|NC|Charlotte|-80.8439|35.2277|Time Warner Cable|Time Warner Cable
2|5|24.93.64.186|25.396 ms|United States|NC|Charlotte|-80.8431|35.2271|Time Warner Cable|Time Warner Cable
2|6|66.109.6.82|30.781 ms|United States|GA|Forest Park|-84.3691|33.6221|Time Warner Cable|Time Warner Cable
2|7|205.197.180.41|27.330 ms|United States|IL|Chicago|-87.6441|41.8825|XO Communications|XO Communications
2|8|205.197.180.54|22.474 ms|United States|IL|Chicago|-87.6441|41.8825|XO Communications|XO Communications
2|9|216.239.51.47|26.074 ms|United States|LA|Sulphur|-93.4063|30.2585|Google|Google
2|10|216.239.51.53|22.458 ms|United States|LA|Sulphur|-93.4063|30.2585|Google|Google
2|11|216.239.51.245|67.616 ms|United States|LA|Sulphur|-93.4063|30.2585|Google|Google
2|12|108.170.232.71|28.579 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
2|13|66.249.94.20|24.741 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
2|14|209.85.143.201|30.242 ms|United States|CA|Mountain View|-122.085|37.4229|Google|Google
2|15|209.85.142.157|23.305 ms|United States|CA|Mountain View|-122.085|37.4229|Google|Google
2|16|64.233.174.133|22.933 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
2|17|173.194.219.139|21.397 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
3|1|192.168.0.1|1.341 ms|||||||
3|2|174.111.102.226|17.824 ms|United States|NC|High Point|-80.0053|35.9557|Time Warner Cable|Time Warner Cable
3|3|24.25.62.50|12.617 ms|United States|NY|New York|-73.9597|40.7903|Time Warner Cable|Time Warner Cable
3|4|24.93.64.186|21.827 ms|United States|NC|Charlotte|-80.8431|35.2271|Time Warner Cable|Time Warner Cable
3|5|24.93.67.202|22.895 ms|United States|NC|Charlotte|-80.8439|35.2277|Time Warner Cable|Time Warner Cable
