ip_address|country|region|city|longitude|latitude|isp|org|level
localhost|United States|NC|Raleigh|-78.6382|35.7796|Time Warner Cable|Time Warner Cable|1
174.111.102.224|United States|NC|High Point|-80.0053|35.9557|Time Warner Cable|Time Warner Cable|2
24.25.62.48|United States|NY|New York|-73.9597|40.7903|Time Warner Cable|Time Warner Cable|3
24.93.67.200|United States|NC|Charlotte|-80.8439|35.2277|Time Warner Cable|Time Warner Cable|4
24.93.64.184|United States|NC|Charlotte|-80.8431|35.2271|Time Warner Cable|Time Warner Cable|5
66.109.6.80|United States|GA|Forest Park|-84.3691|33.6221|Time Warner Cable|Time Warner Cable|6
216.50.79.33|United States|VA|Newport News|-76.5892|37.1254|XO Communications|XO Communications|7
216.50.79.66|United States|VA|Newport News|-76.5892|37.1254|XO Communications|XO Communications|8
216.239.62.139|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|9
216.239.49.181|United States|LA|Sulphur|-93.4063|30.2585|Google|Google|10
216.239.50.93|United States|CA|Mountain View|-122.085|37.4229|Google|Google|11
216.239.48.2|United States|LA|Sulphur|-93.4063|30.2585|Google|Google|12
216.239.48.6|United States|LA|Sulphur|-93.4063|30.2585|Google|Google|13
216.239.48.2|United States|LA|Sulphur|-93.4063|30.2585|Google|Google|14
216.239.40.132|United States|FL|Sarasota|-82.356|27.2379|Google|Google|15
216.239.40.118|United States|FL|Sarasota|-82.356|27.2379|Google|Google|16
209.85.253.1|United States|CA|Mountain View|-122.085|37.4229|Google|Google|17
209.85.143.197|United States|CA|Mountain View|-122.085|37.4229|Google|Google|18
173.194.219.138|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|19
174.111.102.226|United States|NC|High Point|-80.0053|35.9557|Time Warner Cable|Time Warner Cable|2
24.25.62.50|United States|NY|New York|-73.9597|40.7903|Time Warner Cable|Time Warner Cable|3
24.93.67.202|United States|NC|Charlotte|-80.8439|35.2277|Time Warner Cable|Time Warner Cable|4
24.93.64.186|United States|NC|Charlotte|-80.8431|35.2271|Time Warner Cable|Time Warner Cable|5
66.109.6.82|United States|GA|Forest Park|-84.3691|33.6221|Time Warner Cable|Time Warner Cable|6
205.197.180.41|United States|IL|Chicago|-87.6441|41.8825|XO Communications|XO Communications|7
205.197.180.54|United States|IL|Chicago|-87.6441|41.8825|XO Communications|XO Communications|8
216.239.51.47|United States|LA|Sulphur|-93.4063|30.2585|Google|Google|9
216.239.51.53|United States|LA|Sulphur|-93.4063|30.2585|Google|Google|10
216.239.51.245|United States|LA|Sulphur|-93.4063|30.2585|Google|Google|11
108.170.232.71|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|12
66.249.94.20|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|13
209.85.143.201|United States|CA|Mountain View|-122.085|37.4229|Google|Google|14
209.85.142.157|United States|CA|Mountain View|-122.085|37.4229|Google|Google|15
64.233.174.133|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|16
173.194.219.139|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|17
24.93.64.186|United States|NC|Charlotte|-80.8431|35.2271|Time Warner Cable|Time Warner Cable|4
24.93.67.202|United States|NC|Charlotte|-80.8439|35.2277|Time Warner Cable|Time Warner Cable|5
24.93.64.186|United States|NC|Charlotte|-80.8431|35.2271|Time Warner Cable|Time Warner Cable|6
66.109.6.82|United States|GA|Forest Park|-84.3691|33.6221|Time Warner Cable|Time Warner Cable|7
205.197.180.41|United States|IL|Chicago|-87.6441|41.8825|XO Communications|XO Communications|8
205.197.180.54|United States|IL|Chicago|-87.6441|41.8825|XO Communications|XO Communications|9
216.239.51.47|United States|LA|Sulphur|-93.4063|30.2585|Google|Google|11
66.249.94.20|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|12
108.170.232.71|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|13
216.239.51.243|United States|LA|Sulphur|-93.4063|30.2585|Google|Google|14
209.85.243.254|United States|CA|Mountain View|-122.085|37.4229|Google|Google|15
209.85.253.1|United States|CA|Mountain View|-122.085|37.4229|Google|Google|16
